"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-10","10.74",",,W","0.18",",,W,2400","0.0",",,W","0.0",",,W","54","H,,S","60",",,W","46",",,W","  200",",,W","  190",",,W","23.9",",,W","31.1",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-11","10.29",",,W","0.21",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","54",",,W","42",",,W","  200",",,W","  220",",,W","25.9",",,W","38.0",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-12","11.86",",,W","0.11",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","51",",,W","41",",,W","  220",",,W","  230",",,W","19.9",",,W","25.1",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-13","14.32",",,W","0.66",",,W,2400","0.0",",,W","0.0",",,W","47","H,,S","53",",,W","43",",,W","  190",",,W","  200",",,W","25.1",",,W","33.1",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-14","6.26",",,W","1.70",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","53",",,W","45",",,W","  160",",,W","  160",",,W","17.0",",,W","21.9",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-15","10.07",",,W","0.12",",,W,2400","0.0",",,W","0.0",",,W","47","H,,S","51",",,W","43",",,W","  360",",,W","  360",",,W","21.9",",,W","25.1",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-16","14.32",",,W","0.59",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","47",",,W","41",",,W","  200",",,W","  210",",,W","25.1",",,W","35.1",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-17","14.54",",,W","0.01",",,W,2400","0.0",",,W","0.0",",,W","46","H,,S","53",",,W","42",",,W","  220",",,W","  220",",,W","28.0",",,W","34.0",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-18","7.61",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","48","H,,S","60",",,W","41",",,W","   20",",,W","  360",",,W","15.0",",,W","21.0",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-19","5.37",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","62",",,W","41",",,W","   50",",,W","  320",",,W","12.1",",,W","16.1",",,W",,
