MONTH,DAY_OF_MONTH,ORIGIN,DEST,DEP_DELAY
04,01,SEA,ANC,5.690476190476191
04,01,SEA,DEN,1.826086956521739
04,01,SEA,DFW,3.3
04,01,SEA,LAS,2.08
04,01,SEA,LAX,6.943661971830986
04,01,SEA,ORD,4.03125
04,01,SEA,PDX,17.333333333333332
04,01,SEA,PHX,8.37037037037037
04,01,SEA,SFO,14.555555555555555
04,01,SEA,SJC,4.258064516129032
04,02,SEA,ANC,11.340909090909092
04,02,SEA,DEN,1.1627906976744187
04,02,SEA,DFW,11.89655172413793
04,02,SEA,LAS,2.32
04,02,SEA,LAX,6.826086956521739
04,02,SEA,ORD,5.96875
04,02,SEA,PDX,-0.047619047619047616
04,02,SEA,PHX,7.490196078431373
04,02,SEA,SFO,32.833333333333336
04,02,SEA,SJC,2.2580645161290325
04,03,SEA,ANC,3.5121951219512195
04,03,SEA,DEN,6.395833333333333
04,03,SEA,DFW,0.36666666666666664
04,03,SEA,LAS,4.36
04,03,SEA,LAX,5.194805194805195
04,03,SEA,ORD,5.794117647058823
04,03,SEA,PDX,14.695652173913043
04,03,SEA,PHX,6.8545454545454545
04,03,SEA,SFO,15.2
04,03,SEA,SJC,9.375
04,04,SEA,ANC,4.255813953488372
04,04,SEA,DEN,0.7209302325581395
04,04,SEA,DFW,3.4482758620689653
04,04,SEA,LAS,1.6458333333333333
04,04,SEA,LAX,4.054794520547945
04,04,SEA,ORD,7.575757575757576
04,04,SEA,PDX,0
04,04,SEA,PHX,8.018867924528301
04,04,SEA,SFO,0.9166666666666666
04,04,SEA,SJC,1
04,05,SEA,ANC,6.27906976744186
04,05,SEA,DEN,5.630434782608695
04,05,SEA,DFW,0.7666666666666667
04,05,SEA,LAS,7.104166666666667
04,05,SEA,LAX,5.355263157894737
04,05,SEA,ORD,0.18181818181818182
04,05,SEA,PDX,8.363636363636363
04,05,SEA,PHX,7.245283018867925
04,05,SEA,SFO,9.142857142857142
04,05,SEA,SJC,5.4375
04,06,SEA,ANC,9.4
04,06,SEA,DEN,11.043478260869565
04,06,SEA,DFW,1.9333333333333333
04,06,SEA,LAS,9.82
04,06,SEA,LAX,10.14102564102564
04,06,SEA,ORD,3.342857142857143
04,06,SEA,PDX,11.173913043478262
04,06,SEA,PHX,2.290909090909091
04,06,SEA,SFO,31.185714285714287
04,06,SEA,SJC,6.529411764705882
04,07,SEA,ANC,7.636363636363637
04,07,SEA,DEN,1.6666666666666667
04,07,SEA,DFW,3.1
04,07,SEA,LAS,8.183673469387756
04,07,SEA,LAX,7.880952380952381
04,07,SEA,ORD,1.7428571428571429
04,07,SEA,PDX,24.130434782608695
04,07,SEA,PHX,6.150943396226415
04,07,SEA,SFO,25.597014925373134
04,07,SEA,SJC,1.2424242424242424
04,08,SEA,ANC,11.186046511627907
04,08,SEA,DEN,4.9787234042553195
04,08,SEA,DFW,-0.5
04,08,SEA,LAS,6.75
04,08,SEA,LAX,22.064102564102566
04,08,SEA,ORD,6.4411764705882355
04,08,SEA,PDX,0.6190476190476191
04,08,SEA,PHX,0.9038461538461539
04,08,SEA,SFO,14.875
04,08,SEA,SJC,-2.4516129032258065
04,09,SEA,ANC,0.8863636363636364
04,09,SEA,DEN,12.613636363636363
04,09,SEA,DFW,0.1724137931034483
04,09,SEA,LAS,12.979591836734693
04,09,SEA,LAX,4.0131578947368425
04,09,SEA,ORD,33.9375
04,09,SEA,PDX,1.0952380952380953
04,09,SEA,PHX,4.68
04,09,SEA,SFO,14.741935483870968
04,09,SEA,SJC,5.387096774193548
04,10,SEA,ANC,5.2272727272727275
04,10,SEA,DEN,2.5
04,10,SEA,DFW,4.233333333333333
04,10,SEA,LAS,23.94
04,10,SEA,LAX,10.571428571428571
04,10,SEA,ORD,5.257142857142857
04,10,SEA,PDX,0.17391304347826086
04,10,SEA,PHX,2.509433962264151
04,10,SEA,SFO,13.397058823529411
04,10,SEA,SJC,3.0606060606060606
04,11,SEA,ANC,3.6222222222222222
04,11,SEA,DEN,-0.9318181818181818
04,11,SEA,DFW,1.8
04,11,SEA,LAS,1.7446808510638299
04,11,SEA,LAX,-1.554054054054054
04,11,SEA,ORD,2.515151515151515
04,11,SEA,PDX,-4.090909090909091
04,11,SEA,PHX,1.8113207547169812
04,11,SEA,SFO,19.21311475409836
04,11,SEA,SJC,0.65625
04,12,SEA,ANC,2.255813953488372
04,12,SEA,DEN,11.808510638297872
04,12,SEA,DFW,-0.06666666666666667
04,12,SEA,LAS,0.3958333333333333
04,12,SEA,LAX,5.25
04,12,SEA,ORD,2.6
04,12,SEA,PDX,8.956521739130435
04,12,SEA,PHX,-1.8846153846153846
04,12,SEA,SFO,19.353846153846153
04,12,SEA,SJC,0.38235294117647056
04,13,SEA,ANC,-1.0434782608695652
04,13,SEA,DEN,4.170212765957447
04,13,SEA,DFW,11.033333333333333
04,13,SEA,LAS,-1.54
04,13,SEA,LAX,-1.0595238095238095
04,13,SEA,ORD,-0.5714285714285714
04,13,SEA,PDX,14.434782608695652
04,13,SEA,PHX,8.415094339622641
04,13,SEA,SFO,16.714285714285715
04,13,SEA,SJC,-0.34285714285714286
04,14,SEA,ANC,5.533333333333333
04,14,SEA,DEN,0.3673469387755102
04,14,SEA,DFW,-2.8333333333333335
04,14,SEA,LAS,4.09433962264151
04,14,SEA,LAX,2.058139534883721
04,14,SEA,ORD,9.685714285714285
04,14,SEA,PDX,-0.17391304347826086
04,14,SEA,PHX,3.4705882352941178
04,14,SEA,SFO,-0.45588235294117646
04,14,SEA,SJC,-1.2285714285714286
04,15,SEA,ANC,3.5681818181818183
04,15,SEA,DEN,0.8695652173913043
04,15,SEA,DFW,0.06666666666666667
04,15,SEA,LAS,1.5769230769230769
04,15,SEA,LAX,5.653846153846154
04,15,SEA,ORD,-4.057142857142857
04,15,SEA,PDX,-3.8
04,15,SEA,PHX,10.784313725490197
04,15,SEA,SFO,-2.903225806451613
04,15,SEA,SJC,-2.090909090909091
04,16,SEA,ANC,0.9545454545454546
04,16,SEA,DEN,4.512820512820513
04,16,SEA,DFW,-4.5
04,16,SEA,LAS,0.23529411764705882
04,16,SEA,LAX,-1.5333333333333334
04,16,SEA,ORD,-3.65625
04,16,SEA,PDX,-3.238095238095238
04,16,SEA,PHX,-2.4285714285714284
04,16,SEA,SFO,3.0163934426229506
04,16,SEA,SJC,2.78125
04,17,SEA,ANC,-1.5681818181818181
04,17,SEA,DEN,5.638297872340425
04,17,SEA,DFW,12.275862068965518
04,17,SEA,LAS,1.1481481481481481
04,17,SEA,LAX,-3.130952380952381
04,17,SEA,ORD,8.371428571428572
04,17,SEA,PDX,-4.826086956521739
04,17,SEA,PHX,-0.49019607843137253
04,17,SEA,SFO,21.865671641791046
04,17,SEA,SJC,-2.4857142857142858
04,18,SEA,ANC,0.7555555555555555
04,18,SEA,DEN,-0.9111111111111111
04,18,SEA,DFW,4.866666666666666
04,18,SEA,LAS,4.82
04,18,SEA,LAX,-0.04054054054054054
04,18,SEA,ORD,12.323529411764707
04,18,SEA,PDX,2.142857142857143
04,18,SEA,PHX,14.470588235294118
04,18,SEA,SFO,7.377049180327869
04,18,SEA,SJC,7.606060606060606
04,19,SEA,ANC,2.372093023255814
04,19,SEA,DEN,5.020833333333333
04,19,SEA,DFW,2.8666666666666667
04,19,SEA,LAS,1.84
04,19,SEA,LAX,1.025
04,19,SEA,ORD,-0.6857142857142857
04,19,SEA,PDX,4.565217391304348
04,19,SEA,PHX,-2.34
04,19,SEA,SFO,1.4923076923076923
04,19,SEA,SJC,-2.7941176470588234
04,20,SEA,ANC,0.43478260869565216
04,20,SEA,DEN,10.91304347826087
04,20,SEA,DFW,5.366666666666666
04,20,SEA,LAS,-0.7884615384615384
04,20,SEA,LAX,9.761904761904763
04,20,SEA,ORD,4.805555555555555
04,20,SEA,PDX,-3.0869565217391304
04,20,SEA,PHX,8.666666666666666
04,20,SEA,SFO,14.471428571428572
04,20,SEA,SJC,-0.37142857142857144
04,21,SEA,ANC,7.931818181818182
04,21,SEA,DEN,4.183673469387755
04,21,SEA,DFW,-1.2
04,21,SEA,LAS,-0.09433962264150944
04,21,SEA,LAX,11.616279069767442
04,21,SEA,ORD,7.142857142857143
04,21,SEA,PDX,12.608695652173912
04,21,SEA,PHX,4.8431372549019605
04,21,SEA,SFO,19.941176470588236
04,21,SEA,SJC,-1.2285714285714286
04,22,SEA,ANC,2.522727272727273
04,22,SEA,DEN,-0.5957446808510638
04,22,SEA,DFW,5.1
04,22,SEA,LAS,-0.6730769230769231
04,22,SEA,LAX,2.371794871794872
04,22,SEA,ORD,-1.3823529411764706
04,22,SEA,PDX,-0.47619047619047616
04,22,SEA,PHX,-1.28
04,22,SEA,SFO,42.61904761904762
04,22,SEA,SJC,-1.3125
04,23,SEA,ANC,-1.2391304347826086
04,23,SEA,DEN,1.6521739130434783
04,23,SEA,DFW,-1.5666666666666667
04,23,SEA,LAS,0.8269230769230769
04,23,SEA,LAX,4.740259740259741
04,23,SEA,ORD,3.484848484848485
04,23,SEA,PDX,-1.380952380952381
04,23,SEA,PHX,1.1428571428571428
04,23,SEA,SFO,21.696428571428573
04,23,SEA,SJC,-1.75
04,24,SEA,ANC,15.113636363636363
04,24,SEA,DEN,2.693877551020408
04,24,SEA,DFW,15.310344827586206
04,24,SEA,LAS,10.444444444444445
04,24,SEA,LAX,10.635294117647058
04,24,SEA,ORD,0.2857142857142857
04,24,SEA,PDX,1.7272727272727273
04,24,SEA,PHX,6.461538461538462
04,24,SEA,SFO,28.25
04,24,SEA,SJC,4.6
04,25,SEA,ANC,3.2222222222222223
04,25,SEA,DEN,-1.9361702127659575
04,25,SEA,DFW,16.233333333333334
04,25,SEA,LAS,3.9411764705882355
04,25,SEA,LAX,12.58108108108108
04,25,SEA,ORD,-0.29411764705882354
04,25,SEA,PDX,4.045454545454546
04,25,SEA,PHX,2.4705882352941178
04,25,SEA,SFO,3.7580645161290325
04,25,SEA,SJC,2.4705882352941178
04,26,SEA,ANC,4.613636363636363
04,26,SEA,DEN,3.489795918367347
04,26,SEA,DFW,-2.6333333333333333
04,26,SEA,LAS,0.08
04,26,SEA,LAX,4.233766233766234
04,26,SEA,ORD,1.542857142857143
04,26,SEA,PDX,34
04,26,SEA,PHX,-0.5
04,26,SEA,SFO,19.984615384615385
04,26,SEA,SJC,13.088235294117647
04,27,SEA,ANC,2.9583333333333335
04,27,SEA,DEN,2.816326530612245
04,27,SEA,DFW,-0.4666666666666667
04,27,SEA,LAS,3.423076923076923
04,27,SEA,LAX,16.40963855421687
04,27,SEA,ORD,4.138888888888889
04,27,SEA,PDX,6.3478260869565215
04,27,SEA,PHX,7.63265306122449
04,27,SEA,SFO,8.112676056338028
04,27,SEA,SJC,-1.3888888888888888
04,28,SEA,ANC,-0.6086956521739131
04,28,SEA,DEN,3.8627450980392157
04,28,SEA,DFW,0.8333333333333334
04,28,SEA,LAS,6.886792452830188
04,28,SEA,LAX,7.5
04,28,SEA,ORD,-0.4857142857142857
04,28,SEA,PDX,5.956521739130435
04,28,SEA,PHX,7.019607843137255
04,28,SEA,SFO,30.242857142857144
04,28,SEA,SJC,-0.19444444444444445
04,29,SEA,ANC,5.826086956521739
04,29,SEA,DEN,11.208333333333334
04,29,SEA,DFW,9.655172413793103
04,29,SEA,LAS,-0.019230769230769232
04,29,SEA,LAX,3.4675324675324677
04,29,SEA,ORD,25.264705882352942
04,29,SEA,PDX,2
04,29,SEA,PHX,-0.6875
04,29,SEA,SFO,12.615384615384615
04,29,SEA,SJC,-3.878787878787879
04,30,SEA,ANC,9.8
04,30,SEA,DEN,1.3111111111111111
04,30,SEA,DFW,22.464285714285715
04,30,SEA,LAS,4.038461538461538
